type,ev
Remote Work,112526
401(k),105579
Remote Work,183930
Stock Options,89838
401(k),112772
401(k),107146
Remote Work,93915
401(k),189364
Paid Time Off,125045
Paid Time Off,126249
Health Insurance,94009
401(k),197299
401(k),58322
Stock Options,136967
401(k),57821
401(k),123477
Remote Work,59725
401(k),65880
401(k),69803
Health Insurance,78820
401(k),56133
Stock Options,138311
401(k),89360
Stock Options,171545
Health Insurance,183621
Health Insurance,177240
401(k),90193
401(k),161118
Health Insurance,173436
401(k),84936
Stock Options,51847
Remote Work,171799
Paid Time Off,50365
Stock Options,93678
401(k),190656
Remote Work,113534
Stock Options,133668
401(k),147004
Paid Time Off,121540
Health Insurance,85666
401(k),192360
401(k),59863
Health Insurance,55178
Paid Time Off,183270
401(k),71472
401(k),94043
401(k),153381
Remote Work,153849
Stock Options,197114
401(k),146256
401(k),189283
Stock Options,152977
Paid Time Off,192687
401(k),75302
Remote Work,88852
Remote Work,135946
401(k),83216
401(k),83010
Remote Work,77579
Paid Time Off,86635
401(k),63830
Remote Work,182292
401(k),109933
401(k),93938
401(k),73351
401(k),145373
Stock Options,156290
401(k),155307
Remote Work,138575
401(k),120761
401(k),98921
401(k),54381
Remote Work,122483
Stock Options,63783
Remote Work,75156
Paid Time Off,69578
Remote Work,147385
Remote Work,61726
401(k),68085
Remote Work,127076
401(k),114723
401(k),80065
Remote Work,192113
401(k),131372
Remote Work,162419
Paid Time Off,135663
401(k),179948
Health Insurance,51475
401(k),188905
Stock Options,173694
401(k),120537
Paid Time Off,60052
401(k),104176
Stock Options,136550
401(k),131161
401(k),159349
401(k),73408
Health Insurance,193239
Paid Time Off,176101
401(k),158014
Health Insurance,135159
401(k),60408
401(k),66428
Remote Work,172818
Paid Time Off,60505
Stock Options,152048
Paid Time Off,144745
Health Insurance,72786
Health Insurance,117903
Remote Work,149275
Stock Options,172765
401(k),166537
401(k),68066
Paid Time Off,196790
Paid Time Off,193041
Health Insurance,158820
401(k),116059
401(k),122614
Stock Options,75185
Stock Options,158748
401(k),164138
Health Insurance,65176
401(k),145715
401(k),187350
Stock Options,52632
401(k),82437
Health Insurance,164649
Health Insurance,66238
Health Insurance,177852
401(k),78347
Health Insurance,52690
Paid Time Off,151382
Remote Work,141244
Remote Work,175918
Stock Options,121004
Paid Time Off,53812
401(k),95363
Health Insurance,111850
401(k),51472
Stock Options,123583
Remote Work,184685
401(k),145924
Stock Options,68898
Remote Work,72212
401(k),165551
401(k),102059
401(k),62025
401(k),127736
Paid Time Off,54836
401(k),135432
401(k),140728
401(k),101702
Paid Time Off,153461
Remote Work,135965
Remote Work,179707
Health Insurance,62719
Remote Work,72933
Health Insurance,74056
401(k),154003
401(k),142820
Health Insurance,109211
401(k),195740
Paid Time Off,115648
Remote Work,165086
Health Insurance,166131
401(k),115094
401(k),195318
401(k),190199
401(k),116304
Stock Options,66764
401(k),58652
Health Insurance,139737
Health Insurance,184885
Stock Options,190583
401(k),174829
Stock Options,73778
401(k),113499
Remote Work,56365
401(k),185736
401(k),60956
Stock Options,83539
Remote Work,79329
Stock Options,86266
401(k),63803
Remote Work,72095
401(k),181451
401(k),50595
401(k),81516
401(k),104731
Stock Options,119981
Stock Options,90817
Health Insurance,123205
Paid Time Off,108246
401(k),93877
Stock Options,87055
Remote Work,72356
401(k),83496
Remote Work,68973
Paid Time Off,157430
Stock Options,188093
401(k),62218
401(k),107680
401(k),196107
Stock Options,84503
401(k),179509
401(k),167029
Remote Work,81716
Remote Work,186645
401(k),189806
Health Insurance,101502
401(k),122431
Remote Work,122519
401(k),171805
401(k),158521
401(k),56283
Remote Work,75365
401(k),195205
401(k),65381
Stock Options,61954
Stock Options,102681
Paid Time Off,188034
Paid Time Off,55647
401(k),116112
401(k),153775
401(k),141602
Paid Time Off,183387
Health Insurance,191967
Paid Time Off,52168
401(k),152759
Paid Time Off,180387
Remote Work,103259
Health Insurance,118930
Remote Work,134573
401(k),64128
Remote Work,151413
Health Insurance,63369
401(k),140187
Health Insurance,139316
401(k),165930
401(k),76890
Paid Time Off,100724
Paid Time Off,151776
401(k),151961
Paid Time Off,59118
Paid Time Off,169187
401(k),76413
Health Insurance,62417
Stock Options,51549
401(k),53763
401(k),87237
401(k),152065
401(k),117448
401(k),171219
401(k),146231
401(k),69373
Stock Options,177465
Remote Work,122223
Stock Options,105389
Remote Work,59121
Stock Options,102004
Health Insurance,121614
Health Insurance,177035
401(k),155556
401(k),154739
Remote Work,73750
401(k),68228
Remote Work,183765
401(k),163188
Paid Time Off,57546
401(k),150771
Remote Work,81563
401(k),178000
401(k),60213
401(k),124037
Remote Work,156505
401(k),68347
401(k),107291
Stock Options,156235
401(k),133945
401(k),167359
401(k),181950
Paid Time Off,105465
401(k),110250
Remote Work,92742
401(k),153278
Paid Time Off,183901
Paid Time Off,173251
Health Insurance,193191
Health Insurance,142656
401(k),152862
401(k),86510
Remote Work,177322
Paid Time Off,193490
Remote Work,123506
401(k),124667
401(k),74489
401(k),131388
Health Insurance,100161
401(k),191911
Health Insurance,162366
Remote Work,114271
Paid Time Off,142995
401(k),195191
Health Insurance,122341
401(k),67724
Remote Work,154002
Paid Time Off,129958
401(k),99197
401(k),118239
401(k),122323
Stock Options,150668
401(k),73726
Stock Options,137532
Paid Time Off,174910
401(k),126865
Stock Options,82023
401(k),146440
Stock Options,177638
401(k),170667
Stock Options,62087
Remote Work,114382
Remote Work,154639
Stock Options,95425
401(k),54638
401(k),178747
Paid Time Off,57157
401(k),102612
401(k),126861
401(k),159895
Remote Work,178345
Stock Options,161773
401(k),91813
Remote Work,150839
Health Insurance,123830
Remote Work,180435
Health Insurance,55778
401(k),129982
Stock Options,176849
Stock Options,181091
401(k),72854
401(k),196666
401(k),57940
401(k),68315
Stock Options,184822
401(k),120337
401(k),60135
Remote Work,60924
Stock Options,107264
Paid Time Off,187653
Health Insurance,114829
Remote Work,57173
401(k),61711
401(k),188403
401(k),151618
401(k),161750
Remote Work,62255
Paid Time Off,187369
401(k),154550
401(k),68136
401(k),167963
Paid Time Off,52495
Stock Options,96952
Stock Options,111895
Paid Time Off,60601
Health Insurance,154034
401(k),171057
Paid Time Off,172245
Stock Options,188602
401(k),131434
Paid Time Off,68409
401(k),188708
Health Insurance,140835
Paid Time Off,97420
Paid Time Off,82932
Remote Work,99902
Remote Work,144505
401(k),57110
401(k),147978
401(k),93721
401(k),160842
401(k),141806
401(k),165786
Remote Work,138439
401(k),193533
Health Insurance,138899
Remote Work,160674
Remote Work,102790
401(k),68609
Stock Options,168874
Remote Work,179968
401(k),94899
Remote Work,120791
401(k),86587
401(k),173625
401(k),139339
Remote Work,96236
Paid Time Off,100300
401(k),108631
401(k),145092
401(k),162129
401(k),106416
401(k),161343
Paid Time Off,108159
401(k),151226
Health Insurance,113244
Health Insurance,107173
Paid Time Off,75980
Remote Work,189563
401(k),61052
401(k),129701
Paid Time Off,160666
401(k),153461
401(k),177356
401(k),159305
Paid Time Off,172750
401(k),112831
Paid Time Off,122153
Paid Time Off,199950
401(k),89898
401(k),121602
Paid Time Off,83058
401(k),163661
Remote Work,67109
401(k),59705
Health Insurance,103263
Remote Work,124728
401(k),105203
401(k),112227
401(k),51233
401(k),194019
401(k),171824
Remote Work,164433
401(k),185611
401(k),174178
401(k),190825
Paid Time Off,147331
Paid Time Off,80611
401(k),50407
401(k),176506
401(k),121727
Paid Time Off,56386
Paid Time Off,78829
Paid Time Off,92102
401(k),164723
Health Insurance,190482
401(k),155238
Stock Options,156526
401(k),142272
Stock Options,124284
Health Insurance,70704
Paid Time Off,187302
Remote Work,105849
401(k),130902
401(k),180440
Stock Options,106810
401(k),80619
Remote Work,178938
Paid Time Off,119021
Stock Options,55300
Remote Work,130896
401(k),126528
Stock Options,166754
401(k),183149
Stock Options,186977
Remote Work,67804
Remote Work,106582
Paid Time Off,82723
Stock Options,108213
Stock Options,97933
Remote Work,65881
401(k),145820
Health Insurance,185286
Paid Time Off,188332
401(k),161795
Stock Options,80156
Stock Options,129927
401(k),99425
Remote Work,92246
401(k),77801
Paid Time Off,172222
401(k),198591
Stock Options,93392
Paid Time Off,192437
401(k),193192
401(k),118550
401(k),79784
401(k),169241
Remote Work,140087
Remote Work,182714
Stock Options,195079
Stock Options,191212
401(k),138778
Remote Work,148107
401(k),178626
Health Insurance,126275
Health Insurance,91472
401(k),64087
Health Insurance,87373
Stock Options,101833
401(k),95273
401(k),98870
401(k),110374
401(k),128238
401(k),127220
Remote Work,86053
Stock Options,168687
401(k),116330
Health Insurance,161736
Remote Work,131855
Stock Options,80310
Health Insurance,147874
Remote Work,175618
401(k),108748
Stock Options,55846
401(k),180455
Stock Options,124429
Remote Work,76104
Stock Options,124814
401(k),83349
Health Insurance,192314
401(k),96703
Remote Work,111264
Health Insurance,184210
401(k),178226
Health Insurance,110712
Remote Work,89099
401(k),119951
Health Insurance,124056
401(k),126588
401(k),75932
Remote Work,128979
Paid Time Off,188898
Remote Work,139223
401(k),76076
Health Insurance,61021
401(k),140203
Health Insurance,148466
Paid Time Off,152033
401(k),70782
401(k),186328
401(k),54916
Remote Work,51777
Paid Time Off,117516
401(k),80036
401(k),54370
Health Insurance,185020
401(k),178193
Health Insurance,101417
Health Insurance,177753
401(k),151389
401(k),93421
401(k),169594
Stock Options,147500
401(k),174937
401(k),129141
Stock Options,86284
Stock Options,93119
Health Insurance,88041
Remote Work,116462
401(k),105562
Remote Work,198542
Stock Options,112940
401(k),125919
401(k),94405
Paid Time Off,191326
401(k),86052
Remote Work,142417
Remote Work,58434
401(k),128749
401(k),96704
401(k),98425
Stock Options,199729
Paid Time Off,74086
401(k),141519
401(k),116346
401(k),94422
401(k),137905
Health Insurance,121409
401(k),143046
Paid Time Off,127783
Health Insurance,122568
Health Insurance,126151
Health Insurance,75652
Paid Time Off,81273
401(k),166106
Stock Options,162238
Remote Work,139067
Remote Work,167368
401(k),161010
401(k),131002
Paid Time Off,177041
Stock Options,106007
401(k),155524
Remote Work,52826
Health Insurance,188945
Remote Work,106832
401(k),127473
Stock Options,54100
401(k),63436
Paid Time Off,60284
Health Insurance,191920
Health Insurance,58195
Health Insurance,85540
Stock Options,122406
401(k),99548
401(k),130106
Remote Work,87155
401(k),73605
401(k),124293
Paid Time Off,71344
Paid Time Off,57839
Remote Work,151266
401(k),137082
Remote Work,135795
401(k),197501
401(k),102664
401(k),160478
401(k),124047
401(k),103827
401(k),88949
Health Insurance,168379
Remote Work,143147
401(k),171639
401(k),135581
401(k),50548
Health Insurance,125789
401(k),104119
401(k),104315
Health Insurance,193666
Stock Options,73571
Health Insurance,70776
Remote Work,131131
401(k),96926
401(k),65818
401(k),166582
Remote Work,135417
401(k),190357
Remote Work,120169
Remote Work,65480
401(k),56567
Health Insurance,164318
Health Insurance,168294
Paid Time Off,195320
401(k),51961
Paid Time Off,102366
401(k),166841
401(k),164747
401(k),69978
401(k),146354
Stock Options,118972
401(k),118171
Health Insurance,94527
Health Insurance,161416
Health Insurance,151928
Remote Work,169452
Paid Time Off,55106
401(k),156427
Health Insurance,185626
401(k),53246
Stock Options,198237
401(k),136078
401(k),166158
401(k),90246
Health Insurance,76576
Paid Time Off,72335
401(k),81999
Stock Options,149466
401(k),130968
Paid Time Off,164031
Stock Options,148132
Health Insurance,52052
Remote Work,106567
Stock Options,132847
Paid Time Off,178525
401(k),144495
Health Insurance,89702
Stock Options,173920
Health Insurance,60654
Paid Time Off,69249
401(k),166091
Paid Time Off,197128
401(k),68558
Stock Options,127131
401(k),68730
Stock Options,59096
401(k),86252
401(k),121191
401(k),84135
Paid Time Off,54924
Health Insurance,198195
401(k),127362
Health Insurance,159430
Health Insurance,186730
Stock Options,58719
Remote Work,78171
401(k),143645
401(k),82740
Paid Time Off,159531
401(k),115404
Paid Time Off,130603
Remote Work,150443
Stock Options,142899
401(k),154362
Paid Time Off,50360
Remote Work,92961
401(k),160948
Paid Time Off,57887
Remote Work,167774
401(k),142052
401(k),176963
Paid Time Off,77044
Health Insurance,141670
Health Insurance,63785
401(k),84596
Stock Options,146471
401(k),53219
Health Insurance,100878
401(k),123731
401(k),111720
Stock Options,153072
Paid Time Off,182267
Health Insurance,144153
401(k),162667
401(k),115288
Remote Work,92458
401(k),188894
Paid Time Off,145481
401(k),149078
401(k),153606
Stock Options,97934
401(k),122188
Stock Options,161155
401(k),143401
Stock Options,157007
401(k),198196
401(k),58254
401(k),146604
401(k),177510
401(k),71234
Stock Options,108414
Remote Work,87000
Health Insurance,177975
Paid Time Off,120535
401(k),167688
Stock Options,127736
Remote Work,151440
401(k),146609
401(k),118043
401(k),196718
Paid Time Off,104196
Paid Time Off,118146
Stock Options,124741
Health Insurance,153654
401(k),110706
401(k),90212
401(k),178642
401(k),162254
Paid Time Off,90554
401(k),84540
Remote Work,101620
Stock Options,64754
401(k),156489
401(k),131776
Paid Time Off,95528
Remote Work,114648
401(k),53131
Paid Time Off,156273
Stock Options,56391
401(k),63059
401(k),59903
401(k),94911
Paid Time Off,85811
Stock Options,98743
Remote Work,77825
401(k),153393
Remote Work,107983
Remote Work,132714
401(k),178665
401(k),148163
Health Insurance,117623
Stock Options,76336
401(k),195591
401(k),132699
Paid Time Off,52332
Stock Options,183882
Health Insurance,76639
401(k),125352
401(k),80653
401(k),161493
401(k),67376
Remote Work,64465
Remote Work,132586
401(k),89961
Stock Options,55872
Remote Work,152389
401(k),64215
401(k),82758
Health Insurance,136576
Remote Work,161605
401(k),172998
Remote Work,150937
Stock Options,62534
Health Insurance,129466
Health Insurance,186874
Stock Options,195636
401(k),161261
401(k),190863
401(k),84194
401(k),136439
Remote Work,80277
Stock Options,108259
401(k),98243
401(k),168644
Paid Time Off,65349
401(k),81443
401(k),91276
Remote Work,59119
Remote Work,131643
Remote Work,58129
401(k),184185
Paid Time Off,154903
Stock Options,117083
Remote Work,91500
401(k),54559
Health Insurance,186053
Remote Work,113804
401(k),156312
Paid Time Off,70505
401(k),72908
Health Insurance,91345
Health Insurance,108763
Remote Work,106088
Health Insurance,148014
401(k),66762
Paid Time Off,191298
Remote Work,120087
Health Insurance,77510
401(k),188165
401(k),57264
Health Insurance,162436
Health Insurance,94245
Paid Time Off,113526
401(k),110351
Paid Time Off,181501
401(k),190467
Remote Work,115467
401(k),151081
401(k),80997
Remote Work,141965
401(k),146415
Remote Work,186539
Health Insurance,117301
Stock Options,81891
Remote Work,97731
401(k),198191
Health Insurance,191015
Stock Options,170169
401(k),52159
401(k),190234
Stock Options,85651
Stock Options,178514
401(k),124521
401(k),53224
401(k),52335
Stock Options,186145
Health Insurance,191145
401(k),196715
Stock Options,182950
Stock Options,198918
Paid Time Off,63413
Stock Options,137717
401(k),103874
401(k),112706
401(k),136097
Remote Work,128207
Paid Time Off,193714
Paid Time Off,110601
401(k),126605
401(k),114875
Paid Time Off,170008
Paid Time Off,111805
401(k),69010
Stock Options,71081
Stock Options,167928
401(k),162012
401(k),189588
Stock Options,73151
Remote Work,75617
401(k),145899
Remote Work,155512
Remote Work,162191
Health Insurance,50095
Health Insurance,143117
401(k),96980
Health Insurance,75669
Paid Time Off,119256
401(k),165241
Paid Time Off,195130
Health Insurance,72289
Remote Work,145682
Stock Options,54626
Health Insurance,182383
Health Insurance,163562
401(k),193570
Health Insurance,81328
Paid Time Off,151041
401(k),90758
401(k),102113
Paid Time Off,79521
Stock Options,101902
401(k),96852
Stock Options,188521
401(k),167701
Remote Work,57285
401(k),166506
Stock Options,62331
Paid Time Off,73731
401(k),127675
Health Insurance,176472
Remote Work,196660
Health Insurance,199598
Remote Work,63422
Health Insurance,69315
Paid Time Off,76550
401(k),108680
Health Insurance,65043
401(k),187860
Remote Work,101149
Paid Time Off,182205
Stock Options,118953
Stock Options,157810
401(k),92976
Health Insurance,149954
Stock Options,85900
401(k),95857
Remote Work,171363
Health Insurance,71034
401(k),132897
Health Insurance,181314
401(k),58044
Health Insurance,156007
Paid Time Off,115152
Remote Work,181279
Stock Options,176540
401(k),186288
Paid Time Off,199800
Health Insurance,70459
Paid Time Off,105677
401(k),150691
401(k),158514
401(k),174247
401(k),146499
Paid Time Off,57700
401(k),128158
Remote Work,66027
Health Insurance,188872
Stock Options,190198
Stock Options,185327
401(k),199615
401(k),91152
401(k),126048
Remote Work,192919
401(k),137347
401(k),141153
Health Insurance,111779
401(k),62977
401(k),80432
Remote Work,192449
Stock Options,111989
401(k),59843
Remote Work,98525
Remote Work,75622
401(k),78890
Remote Work,96659
Remote Work,124097
Remote Work,103520
Stock Options,131142
401(k),157728
Remote Work,145493
Paid Time Off,122505
Stock Options,189406
Stock Options,136419
401(k),186715
Stock Options,85540
401(k),100079
Paid Time Off,53297
Health Insurance,133537
Paid Time Off,159012
Remote Work,90776
401(k),157642
Remote Work,95562
401(k),121933
Stock Options,174739
401(k),174879
Health Insurance,79324
401(k),183591
Stock Options,198476
401(k),158697
Health Insurance,159965
Remote Work,105176
Stock Options,74712
401(k),166877
Health Insurance,79552
401(k),87902
401(k),179102
Paid Time Off,76819
401(k),87910
Remote Work,132507
401(k),173217
401(k),100092
401(k),193296
Stock Options,157465
401(k),141398
401(k),184882
Stock Options,186111
Stock Options,95217
401(k),124748
Paid Time Off,126100
Paid Time Off,78265
Remote Work,166092
401(k),160070
401(k),135153
Remote Work,74388
401(k),194676
401(k),98575
Paid Time Off,64225
401(k),55102
401(k),71064
Paid Time Off,52815
401(k),66558
Remote Work,150158
401(k),158069
401(k),119664
401(k),117089
401(k),191077
Health Insurance,93197
401(k),198038
401(k),60734
401(k),164984
Health Insurance,130201
401(k),198638
401(k),180831
Remote Work,165804
Paid Time Off,135064
Remote Work,185299
401(k),172024
Remote Work,107737
401(k),172498
401(k),69522
Health Insurance,183691
401(k),77237
Health Insurance,188042
Paid Time Off,186298
Health Insurance,131673
Stock Options,123054
Paid Time Off,183327
401(k),66091
Remote Work,105964
Remote Work,54825
Health Insurance,162104
401(k),150303
401(k),87194
Health Insurance,91212
401(k),153951
Health Insurance,58950
Stock Options,109251
401(k),112501
Remote Work,87470
Paid Time Off,107345
Stock Options,125477
401(k),57087
Stock Options,176212
401(k),195173
Stock Options,171471
401(k),108275
Health Insurance,73539
Remote Work,172382
Stock Options,65250
Paid Time Off,76594
Health Insurance,135861
401(k),128746
Remote Work,176620
401(k),162936
Paid Time Off,178841
Health Insurance,111484
Stock Options,162189
Health Insurance,116463
401(k),135893
401(k),51657
401(k),62932
Health Insurance,178369
401(k),162673
Paid Time Off,149229
Remote Work,62314
Stock Options,76025
401(k),156660
401(k),74660
Health Insurance,87153
Remote Work,142848
401(k),110875
401(k),95108
Health Insurance,161886
Paid Time Off,144299
Stock Options,195613
401(k),137932
401(k),78349
401(k),176752
Paid Time Off,84614
Health Insurance,151191
401(k),182387
Paid Time Off,158721
Remote Work,86381
401(k),125641
401(k),77325
Stock Options,158648
401(k),188114
Remote Work,124329
Health Insurance,128692
401(k),129252
Paid Time Off,100552
Health Insurance,71108
Remote Work,153678
Paid Time Off,92906
401(k),108187
401(k),146775
Health Insurance,96045
401(k),66419
401(k),153149
Remote Work,70304
401(k),138880
Paid Time Off,189221
Stock Options,164441
Paid Time Off,199303
401(k),144939
401(k),75330
Health Insurance,130180
401(k),156753
Stock Options,74338
401(k),141585
401(k),174023
Health Insurance,93834
Paid Time Off,139000
Stock Options,182261
Remote Work,85462
401(k),186378
401(k),143996
401(k),122550
401(k),156407
Stock Options,81791
401(k),133225
Health Insurance,175482
Paid Time Off,103981
Stock Options,140976
401(k),172525
401(k),198753
401(k),183225
401(k),71287
401(k),156847
Remote Work,63409
401(k),184135
Paid Time Off,196134
Paid Time Off,136329
Health Insurance,176591
401(k),88701
Paid Time Off,151954
401(k),182144
Paid Time Off,112057
401(k),92283
Remote Work,79508
401(k),196516
Health Insurance,67381
401(k),92937
401(k),167481
Remote Work,189921
401(k),96309
Stock Options,131306
401(k),100139
401(k),156875
Remote Work,69430
401(k),182521
401(k),141243
401(k),87301
401(k),89732
401(k),160208
401(k),87793
401(k),57941
Health Insurance,63511
401(k),163007
Health Insurance,110741
Stock Options,168669
Health Insurance,86590
401(k),133744
Stock Options,197820
401(k),183603
Paid Time Off,76751
Paid Time Off,97752
Stock Options,141647
Health Insurance,197796
401(k),75707
401(k),105667
Paid Time Off,100972
401(k),178723
401(k),161895
401(k),126216
401(k),152576
Health Insurance,161148
Health Insurance,66974
Remote Work,159751
401(k),172110
401(k),137227
401(k),182895
401(k),139929
Paid Time Off,134820
401(k),61730
Health Insurance,192580
401(k),70721
401(k),67294
401(k),140145
401(k),167525
Stock Options,110151
Paid Time Off,82489
Stock Options,107233
Health Insurance,69103
401(k),84890
401(k),85951
401(k),181358
Health Insurance,64208
401(k),169026
401(k),116896
401(k),73997
401(k),109603
Remote Work,126132
Remote Work,163542
Health Insurance,106901
Paid Time Off,96774
Remote Work,80723
401(k),87445
401(k),171389
401(k),66318
401(k),72763
Stock Options,139687
401(k),58113
401(k),98978
Paid Time Off,185014
Health Insurance,177871
Health Insurance,199959
