name,country,city,zipcode,mv
A.G.P./Alliance Global Partners,,New York City Metropolitan Area,,
NeuroJust ,,"Metairie, LA",70001.0,
The Medicare Coach,,"Colorado, United States",,
Kona Medical Consulting,,"McDonough, GA",30252.0,
BWE Home Theater,,"Fresno, CA",93650.0,
The Job Network,,"Murrieta, CA",92562.0,
The Job Network,,"San Antonio, TX",78201.0,
The Job Network,,"Ogden, UT",84401.0,
The Job Network,,"Huntington, NY",11743.0,
The Job Network,,"Dallas, TX",75201.0,
Revature,,"East Chicago, IN",46312.0,
The Job Network,,"Suffolk, VA",23432.0,
The Job Network,,"Urbandale, IA",50322.0,
The Job Network,,"St Louis, MO",63367.0,
The Job Network,,"Memphis, TN",38103.0,
The Job Network,,"Hanover, PA",17331.0,
Brady Insurance Group LLC,,"Kokomo, IN",46901.0,
,,"Waco, TX",76701.0,
Ideando Inc,,United States,,
navXcom,,United States,,
Diment & Associates,,"Baton Rouge, LA",70801.0,
iWealth,,"Waseca, MN",56093.0,
International Bath and Tile,,"San Diego, CA",92101.0,
"Grow West MD, LLC",,"Cumberland, MD",21502.0,
Galerie Candy and Gifts,,"Hebron, KY",41048.0,
"I.T. Solutions, Inc.",,"Foster City, CA",96125.0,
LT Apparel Group,,Greensboro--Winston-Salem--High Point Area,,
ViaBot,,"Sunnyvale, CA",94085.0,
"City of Germantown, TN",,"Germantown, TN",38138.0,
Rogue Ales & Spirits,,United States,,
"Thorpe Design, Inc.",,"Brentwood, CA",94513.0,
Butler University,,"Minneapolis, MN",55401.0,
Athos Private Wealth,,"Holladay, UT",,
Eastern Indiana Works,,"Muncie, IN",47302.0,
Grunwald Mechanical Contractors & Engineers,,"Omaha, NE",68102.0,
Dynamic SRG,,New York City Metropolitan Area,,
Naked Wardrobe,,"Los Angeles, CA",90001.0,
"Executive Cleaning Services, Inc",,"Omaha, NE",68102.0,
Lynx Systems,,"Richardson, TX",75080.0,
"W.C. Construction Company, LLC",,Raleigh-Durham-Chapel Hill Area,,
ActOne Group,,"New York, NY",10001.0,
Aston Carter,,"Dayton, OR",97114.0,
Lead Lab,,"Redmond, WA",98052.0,
Armstrong Builders LLC,,"Kailua-Kona, HI",96740.0,
ASA Architects,,"Las Cruces, NM",88001.0,
Cape Fear Commercial,,"Wilmington, NC",28401.0,
Avero Diagnostics,,"Bellingham, WA",98225.0,
SysMind,,"Jersey City, NJ",7302.0,
ABC Farigua Division,,"Greater Orlando, FL",32801.0,
San José Clinic,,"Houston, TX",77002.0,
"Signature Estate & Investment Advisors, LLC",,"Redondo Beach, CA",90277.0,
Florida Lifestyle Homes,,"Fort Myers, FL",33900.0,
Bellevue Downtown Association,,"Bellevue, WA",98004.0,
AB Underground,,"La Salle, CO",80645.0,
,,"Minnesota, United States",,
Saxon AI,,"San Francisco, CA",94101.0,
SLS Solutions,,United States,,
Weyerhaeuser,,"Castle Rock, WA",98611.0,
Eclipse Building Corp,,"Land O' Lakes, FL",34637.0,
barton CPA,,"Palm Springs, CA",92262.0,
KLA (Kim Lundgren Associates),,United States,,
"Navajo Transitional Energy Company, LLC",,"Broomfield, CO",80020.0,
McInnis Engineering,,"Tacoma, WA",98402.0,
Consulate General of Israel to New England,,"Boston, MA",2108.0,
Kenai Capital Advisors,,"Littleton, CO",80120.0,
,,"Lake County, IL",60156.0,
White Bottle Inc.,,"Stanton, CA",90680.0,
"McDonnell & Associates, P.C.",,"King of Prussia, PA",19406.0,
Webologix Ltd/ INC,,United States,,
Garven Design Group,,"Edina, MN",,
Nebraska Public Media,,"Lincoln, Nebraska Metropolitan Area",,
Crisp,,"Chicago, IL",60601.0,
,,"Collierville, TN",38017.0,
,,United States,,
Elica Electric Co,,"New York, NY",10001.0,
Century Trucks & Vans,,"Grand Prairie, TX",75050.0,
Tree of Life Counseling Center,,"Princeton, NJ",8540.0,
Marquee Event Rentals,,"Austin, TX",78701.0,
"Testa Heck Testa & White, P.A.",,"Vineland, NJ",8360.0,
Health & Rehab Solutions,,"Kalispell, MT",59901.0,
Ameriflex,,United States,,
,,"White Plains, NY",10601.0,
Fraser,,Greater Minneapolis-St. Paul Area,,
Landscape Management Group,,"Columbus, Ohio Metropolitan Area",,
Karuna Advisors,,"Menlo Park, CA",94025.0,
USLI,,Greater Philadelphia,,
Moseley Architects,,Raleigh-Durham-Chapel Hill Area,,
Axalume,,"San Diego, CA",92101.0,
Women choice,,United States,,
"SEH Excavating, Inc.",,"Finksburg, MD",21048.0,
ZM Jobs & Hiring Limited,,United States,,
Foley Development,,"San Diego, CA",92101.0,
Burn Boot Camp,,"Oklahoma City, OK",73102.0,
LHH,,"Jacksonville, FL",32099.0,
Kiddie Academies of Greater Seattle Careers,,"Kirkland, WA",98033.0,
CITY Boots,,"Fort Worth, TX",76102.0,
AVAVA,,"Waltham, MA",2451.0,
Conduit Tech,,United States,,
Grant Writing Solutions,,United States,,
LaBella Intimates & Boutique,,"Orlando, FL",32801.0,
Education Success Foundation,,"Rochester, NY",14604.0,
SDi Fire,,"Neptune, NJ",7753.0,
NLB Services,,"Jersey City, NJ",7302.0,
DIGS Vacation Rentals.com,,"San Luis Obispo County, CA",93401.0,
KeyBank,,"Cleveland, OH",44102.0,
"Flo-Rite Mechanical, LLC",,"San Antonio, TX",78201.0,
Polyram Plastic Industries Ltd,,United States,,
Clarity Counseling Pittsburgh,,"Aliquippa, PA",15001.0,
TECHEAD,,"Richmond, VA",23219.0,
Miracles for Kids,,"Irvine, CA",92602.0,
Starup Insurance,,"California, United States",,
,,"Flourtown, PA",19031.0,
Erlanger,,"Chattanooga, TN",37402.0,
Throttle Company Vintage Motorcycles,,"Columbus, Ohio Metropolitan Area",,
Beat the Streets - Baltimore,,"Baltimore, MD",21201.0,
LANE PUBLIC SCHOOL,,"Lane, OK",74555.0,
Action Equipment and Scaffold Company,,United States,,
The Line Method,,"Washington, DC",20001.0,
McNaughton Bros. Inc.,,"Indiana, PA",15701.0,
Böning Ship Automation USA,,"Louisiana, United States",,
StyleAI,,San Francisco Bay Area,,
,,"Tampa, FL",33602.0,
Lorenz Motors,,"Trenton, NJ",8608.0,
"Shute, Mihaly & Weinberger LLP",,"San Francisco, CA",94101.0,
Balltime,,United States,,
"PreScouter, Inc.",,United States,,
"MEC (Mayville Engineering Company, Inc.)",,"Fond du Lac, WI",54935.0,
Health Alliance Solutions,,"Fresno, CA",93650.0,
"Superior Court of California, County of El Dorado",,"Placerville, CA",95667.0,
Mi Familia Vota,,"Phoenix, AZ",85003.0,
HirelyAI,,"Oregon, United States",,
Mountain View Eye Center,,"Fairbanks, AK",99701.0,
,,"Texas, United States",,
Prolink,,Cincinnati Metropolitan Area,,
"Dexterity, Inc.",,"Redwood City, CA",94061.0,
Xoriant,,"Jersey City, NJ",7302.0,
Mestek Machinery,,"Cedar Rapids, IA",52401.0,
Staff Management | SMX,,"New Albany, IN",47150.0,
Maranatha Consulting,,United States,,
"Reed Leeper, P.C.",,"Marietta, GA",30008.0,
Bennett Academy,,Greater Phoenix Area,,
Veritas Physician Management,,"Brooklyn, NY",11201.0,
"Endeco Fabrication, LLC",,"Brookhaven, MS",39601.0,
Acadium,,United States,,
Groove Jones,,"Dallas, TX",75201.0,
,,"Queens, NY",11427.0,
AirTight Management,,United States,,
SICIS,,"Bronx, NY",10451.0,
Society of St. Vincent de Paul Detroit,,"Detroit, MI",48201.0,
Smith Imports LLC,,"Memphis, TN",38103.0,
,,"Miami, FL",33122.0,
Citrine LLC,,"Lakewood, CO",80722.0,
Bishop Ludden Junior-Senior High School,,"Syracuse, NY",13202.0,
Cynet Locums,,Washington DC-Baltimore Area,,
"Abgin Law, PC",,"Beverly Hills, CA",90210.0,
Soyventis North America LLC,,"Morristown, NJ",7960.0,
,,"Mesa, AZ",85201.0,
Excelon Solutions,,"East Aurora, NY",14052.0,
Insight Apparel,,"Woodstock, GA",30188.0,
Experience Columbia SC,,"Columbia, South Carolina Metropolitan Area",,
Ascendion,,"Seattle, WA",98101.0,
Universal Health Corporation,,"Warsaw, VA",22572.0,
Saylor Physical Therapy,,"Aiken, SC",29801.0,
Despard Analytics,,"Atlanta, GA",30303.0,
Q Center,,"Portland, OR",97201.0,
Ripple Effect Artists ,,United States,,
ASICS Corporation,,Louisville Metropolitan Area,,
Ruff House Print Shop,,"Lawrence, KS",66044.0,
DSGN Associates,,"Dallas, TX",75201.0,
Willie's Superbrew,,"North Carolina, United States",,
"A&B Machine and Design, Inc.",,"Sidney, OH",45365.0,
BODY20,,"Decatur, GA",30030.0,
JVM Global Inc,,"Boston, MA",2108.0,
"KTA Advising Group, LLC",,Washington DC-Baltimore Area,,
Bell Environmental,,New York City Metropolitan Area,,
"KAZAN, MCCLAIN, SATTERLEY, & GREENWOOD",,"Oakland, CA",94601.0,
Akshaya Inc,,"Cupertino, CA",95014.0,
Internal Fire Pilates,,"Mill Valley, CA",94941.0,
Louisville Water Company,,"Louisville, KY",40202.0,
Burnett Plastic Surgery,,"Westfield, NJ",7090.0,
"Sunray Enterprise, Inc.",,United States,,
Honey Homes,,United States,,
Practical Design Partners,,"Atlanta, GA",30303.0,
Premier Brands Group Holdings,,New York City Metropolitan Area,,
Sharper Office Admin ,,New York City Metropolitan Area,,
,,"San Diego, CA",92101.0,
IV League,,"Culver City, CA",90230.0,
Holding Company,,United States,,
Kings Of Neon,,"Nevada, United States",,
"Decision Point Security, Inc.",,"Florida, United States",,
Coinflow Labs,,"Chicago, IL",60601.0,
Accu Reference Medical Lab,,"Linden, NJ",7036.0,
Connect Savannah,,"Savannah, GA",31401.0,
Visit Anchorage,,"Anchorage, AK",99501.0,
GlobeX Leisure and Travel,,"Sevierville, TN",37862.0,
"Harris, Finley & Bogle, P.C.",,"Fort Worth, TX",76102.0,
,,"Flower Mound, TX",75022.0,
Liberty Home Mortgage Corporation,,"Independence, OH",44131.0,
Wanderboat AI,,San Francisco Bay Area,,
Diversified Technologies International,,"Roseville, MI",48066.0,
"Sargents Equipment & Repair Service, Inc.",,"Pardeeville, WI",53954.0,
Cimolai-HY LLC,,"Olean, NY",14760.0,
Project VOYCE,,Denver Metropolitan Area,,
National Signs,,"Houston, TX",77002.0,
HireBus,,United States,,
Pier,,"Los Angeles, CA",90001.0,
Loyalty360,,"Cincinnati, OH",45202.0,
"Arcticom LLC, a BSNC Company",,"Anchorage, AK",99501.0,
GSOBA,,"Los Angeles, CA",90001.0,
Got10IN,,"Berkeley, CA",94702.0,
Long Grove Pharmaceuticals,,"Rosemont, IL",61568.0,
SemiNex Corporation,,"Danvers, MA",1923.0,
"Finazzo, Cossolini, O’Leary, Meola & Hager, LLC",,"Morristown, NJ",7960.0,
"Cira Tek, Inc",,"Portland, OR",97201.0,
MD Esthetics Brand,,"Norfolk, VA",23502.0,
,,"Aitkin, MN",56431.0,
Seafarer Consulting,,United States,,
AVANCE CONSULTING,,"Bellevue, WA",98004.0,
"Merakris Therapeutics, Inc.",,United States,,
The Viscusi Group,,New York City Metropolitan Area,,
The Bird House - Hospice Home of Johnson County,,"Iowa City, IA",52240.0,
ZenithMinds Inc,,"Austin, TX",78701.0,
Bright Sparks,,United States,,
"P&F Machining, Inc.",,"Otsego, MN",55369.0,
World Spirit of the Game Foundation (SotG Global),,United States,,
The Morgan Library & Museum,,"New York, NY",10001.0,
"Blois Construction, Inc.",,"Oxnard, CA",93030.0,
1080 Learning Center,,"Denver, CO",80202.0,
Horizon America Staffing,,"Irving, TX",75038.0,
"Allcock & Marcus, LLC",,"Braintree, MA",2184.0,
"Betsy Bash, LLC",,United States,,
"Bridge Analyzers, Inc.",,"Bedford Heights, OH",44146.0,
iTECH,,"San Diego, CA",92101.0,
"Keller Williams Realty, Inc.",,United States,,
Somnea Health,,United States,,
Riverbend Sandler Pools,,"Southlake, TX",76092.0,
MAVAL Industries LLC,,"Twinsburg, OH",44087.0,
Bedford Stuyvesant New Beginnings Charter School,,"Brooklyn, NY",11201.0,
PETCHEFY,,"Miami, FL",33122.0,
HAPPI Health,,Huntsville-Decatur-Albertville Area,,
UAMS - University of Arkansas for Medical Sciences,,"Little Rock, AR",72201.0,
Angel Reach,,"Conroe, TX",77301.0,
Multiple Network Solutions,,United States,,
Varco Home Health & Hospice,,"Houston, TX",77002.0,
"Amogha Group, INC ",,"Garden City, NY",11530.0,
Arms Acres,,"Carmel, NY",10512.0,
Miami Country Day School,,"Miami, FL",33122.0,
CAMS (Community Association Management Services),,"Morehead City, NC",28557.0,
beem Light Sauna,,"Malvern, PA",19355.0,
St. James Parish Hospital,,"Lutcher, LA",70071.0,
Nebraska Hoist & Crane,,"Omaha, NE",68102.0,
Red Krypton,,United States,,
COLORADO VETERINARY SPECIALTY GROUP,,"Littleton, CO",80120.0,
SalesPage Technologies,,"Kalamazoo, MI",49001.0,
Commercial Partners of Texas,,"Texas, United States",,
Ascend,,San Francisco Bay Area,,
EverWonder Studio,,"Manhattan, NY",,
Greenville Technical College,,"Greenville, SC",29601.0,
POOLESVILLE FAMILY PRACTICE,,"Poolesville, MD",20837.0,
Northeast Georgia Health System,,"Gainesville, GA",30501.0,
Thompson-Brothers-Supply,,"Coffeyville, KS",67337.0,
,,"Iowa, United States",,
CapAcuity,,"Albany, NY",12202.0,
,,"Palatka, FL",32177.0,
Vtechys,,United States,,
Terra Forza Golf,,United States,,
HeyHire,,"Austin, Texas Metropolitan Area",,
"Randolph School, Huntsville",,"Huntsville, AL",35801.0,
Thompson Kane Concrete,,"Madison, WI",53703.0,
OTB English,,United States,,
The Roxbury Latin School,,"Boston, MA",2108.0,
Call & Nicholas,,"Tucson, AZ",85701.0,
Atala Physical Therapy,,"Carlsbad, CA",92008.0,
,,"Florida, United States",,
The Moorhead Team,,"Austin, Texas Metropolitan Area",,
Bend the Arc: A Jewish Partnership for Justice,,United States,,
Cold Storage Recruiting,,"Elizabeth, NJ",7201.0,
,,"Farmington, MN",55024.0,
,,"Bel Air, MD",21014.0,
Marsh McLennan Agency,,"Dallas, TX",75201.0,
DICK'S Sporting Goods,,"Portland, OR",97201.0,
SOLA Pharmaceuticals,,"Baton Rouge, LA",70801.0,
Shah Financial,,"Red Bank, NJ",7701.0,
IHC Agency ,,"Miami, FL",33122.0,
PB Built,,"Jupiter, FL",33458.0,
Dimerco Express Group,,"El Segundo, CA",90245.0,
Peariwinkle,,United States,,
Brains & Motion Education,,United States,,
"XACT WAREHOUSE SOLUTIONS, LLC",,"Austin, Texas Metropolitan Area",,
"Lawhon & Associates, Inc.",,"Columbus, Ohio Metropolitan Area",,
GlobalStake,,United States,,
TekisHub Consulting Services ,,"Austin, TX",78701.0,
,,"Detroit, MI",48201.0,
Georgia Tech Research Institute,,"Albuquerque, NM",87101.0,
Agrex Inc.,,"Plymouth, MN",,
"Subaru Research and Development, Inc",,"Michigan, United States",,
Gamble Design Collaborative,,"Franklin, TN",37064.0,
Sunsoil,,United States,,
Duke Manufacturing Co.,,"Sedalia, MO",65301.0,
Southeastern Wind Coalition,,"Louisiana, United States",,
Sovrinti,,United States,,
SilverSpace Technologies Inc,,"Hartford, CT",6101.0,
PAP Consulting Services,,"Metro Detroit, MI",48201.0,
"Sudden Wealth Protection Law, PLC",,"Phoenix, AZ",85003.0,
Kessel Media Group,,United States,,
Euclid File Solutions LLC,,United States,,
Insight Global,,"Webster, TX",77598.0,
"Five Rings Financial, LLC",,United States,,
Diverse Lynx,,"Stamford, CT",6901.0,
CMD Electric,,San Diego Metropolitan Area,,
MZ North America,,United States,,
Celestial Point Incorporated,,United States,,
Besen Partners,,"New York, NY",10001.0,
DonQ fitness,,Greater Tampa Bay Area,,
"Parraid, LLC",,"Hollywood, MD",20636.0,
Project Hope Alliance,,"Costa Mesa, CA",92626.0,
Red Tail Group,,"Los Angeles, CA",90001.0,
Cage Riot,,"Los Angeles, CA",90001.0,
INSPIRE Psychological Wellness,,United States,,
Medical Device Innovation Consortium (MDIC),,"Arlington, VA",22201.0,
AstraZeneca,,"Gaithersburg, MD",20877.0,
Prim + Co,,"Denver, CO",80202.0,
Tenazx Inc,,"Queens, NY",11427.0,
Azure Sky Management Consulting,,United States,,
Able&Co.,,"Raleigh, NC",27601.0,
Mailprotector ,,"Greenville, SC",29601.0,
ShipNova,,"Argyle, TX",76226.0,
"Refuge of Hope Ministries, Canton",,"Canton, OH",44702.0,
Law Office of Chen & Associates Inc. 恒莹律师事务所 ,,"Philadelphia, PA",19102.0,
Massive Action Marketing,,"Vancouver, WA",98660.0,
SEOGidi,,United States,,
Northrop Grumman,,"Los Angeles, California, United States",,
Sandstone Medical Solutions ,,"Las Vegas, NV",89101.0,
Diamond Acquisitions,,"Dallas, TX",75201.0,
Key Biscayne Yacht Club,,"Key Biscayne, FL",33149.0,
City of Tempe,,"Tempe, AZ",85281.0,
Wright Contracting,,"Santa Rosa, CA",95401.0,
Sax Alley,,"Windsor, CO",80550.0,
Matthew 25 Cedar Rapids,,"Cedar Rapids, IA",52401.0,
Thomas & Sons Distributor,,"Springfield, OR",97477.0,
"Agilonomics, LLC",,United States,,
HQ,,"Ogden, UT",84401.0,
Service Minds,,"Orlando, FL",32801.0,
Farmer Focus,,"Harrisonburg, VA",22801.0,
TechIntelli Solutions,,"McKinney, TX",75069.0,
Ideal Restoration Inc,,"San Jose, CA",95101.0,
Night Lights,,"Arvada, CO",80002.0,
Sylvan Learning,,"Chaska, MN",55318.0,
The Epicure,,United States,,
,,"Sunrise, FL",,
,,"Scarsdale, NY",10583.0,
Beam General Contractors,,"Raleigh, NC",27601.0,
"Green Lines Transportation, Inc. ",,"Canton, OH",44702.0,
Belfort Group,,"Boston, MA",2108.0,
Skyline Smiles,,"Chicago, IL",60601.0,
Town of Apex,,"Apex, NC",27502.0,
Under Canvas Inc.,,"Belgrade, MT",59714.0,
Talent Direct Innovations,,"Palo Alto, CA",94301.0,
Global Financial Impact (GFI),,"Austin, Texas Metropolitan Area",,
0,,"Atlanta, GA",30303.0,
TRG,,"Westlake, OH",44145.0,
Children's Bureau of Southern California,,"Palmdale, CA",93550.0,
"LanceSoft, Inc.",,"Richmond, KY",40475.0,
SanLuna LLC,,"Phoenix, AZ",85003.0,
The Animal Doctors,,"Palo Alto, CA",94301.0,
RELISH,,United States,,
,,"Colorado, United States",,
Delaware Valley Regional Planning Commission,,"Philadelphia, PA",19102.0,
Mango Power,,United States,,
Fliteway Technologies,,"Cudahy, WI",53110.0,
NorthWest Navigator Luxury Coaches,,"Portland, Oregon Metropolitan Area",,
Alliant Biotech,,"Grand Rapids, MI",49503.0,
DIEPENBROCK & COTTER LLP,,"Sacramento, CA",95811.0,
Stealth,,"White Plains, NY",10601.0,
Magnolia Patio and Pool,,"Spring, TX",77373.0,
Episcopal School of Acadiana,,"Broussard, LA",70518.0,
Riteload,,United States,,
NELCWIT (New England Learning Center for Women In Transition),,"Greenfield, MA",1301.0,
Making Air Right,,"Germantown, MD",20874.0,
Homeward Bound of WNC,,Greater Asheville,,
,,"Atlanta, GA",30303.0,
ABHI IT SYSTEMS INC,,"Dallas, TX",75201.0,
Marshall Craft Associates,,"Baltimore, MD",21201.0,
Scenario,,"Los Angeles, CA",90001.0,
Emory Healthcare,,"Atlanta, GA",30303.0,
"Cornerstone Property Management, CREG Inc.",,"San Jose, CA",95101.0,
Food Bank of Central & Eastern NC,,"New Bern, NC",28560.0,
Kellton,,"Boston, MA",2108.0,
Gold Star Gamers,,"El Paso, TX",79901.0,
Reese Hackman,,"Pennsylvania, United States",,
PennPak Solutions,,"Bethlehem, PA",18015.0,
vMOX,,United States,,
Origami Rehabilitation,,"Mason, MI",48854.0,
,,"Pleasanton, CA",94566.0,
François & Co.,,"Atlanta, GA",30303.0,
Brentwood Consulting Group,,"New York, NY",10001.0,
Chargezoom,,"Salt Lake City, UT",84101.0,
Mewsic Moves,,Los Angeles Metropolitan Area,,
Cagent Vascular,,"Wayne, PA",19087.0,
Leviate Air Group,,"Teterboro, NJ",7608.0,
New Wave Recruiting,,"Strongsville, OH",44136.0,
,,"Rio Rancho, NM",87124.0,
,,"Waxahachie, TX",75165.0,
"United Business Solutions, Inc.",,"Foster City, CA",96125.0,
Brooklyn Film Festival,,"Brooklyn, NY",11201.0,
FST Search,,"Sparrows Point, MD",21219.0,
Tracts,,United States,,
"Tanisha Systems, Inc",,"New York, NY",10001.0,
Orthopaedic Specialists of North Carolina,,"North Carolina, United States",,
Truth Academy Dallas,,"Dallas, TX",75201.0,
AdQuick,,"New York, United States",,
"Halifax Humane Society, Inc.",,"Daytona Beach, FL",32114.0,
Oggi Talent,,Greater Minneapolis-St. Paul Area,,
,,"California, United States",,
Morgan Stanley,,"New York, NY",10001.0,
RAW Equipment Building Materials Corp,,"Queens, NY",11427.0,
Prepto,,"Santa Clara, CA",95050.0,
Erie Family Health Centers,,"Waukegan, IL",60085.0,
McInnis Inc.,,"Milford, CT",6460.0,
Talentooze,,United States,,
Global Opine Staffing,,"Tampa, FL",33602.0,
MNK Infotech,,"Houston, TX",77002.0,
The Uncommon Thread,,"Stirling, NJ",7980.0,
Swagelok Pittsburgh | Tri-State Area,,Greater Pittsburgh Region,,
"Star Logistics, Inc",,"Omaha, NE",68102.0,
Guardians of Unity Initiative,,"Springfield, Illinois Metropolitan Area",,
Benda Infotech,,"Chicago, IL",60601.0,
Redifcard Technologies LLC,,"Bloomington, MN",55796.0,
Pinnacle Group,,"Chicago, IL",60601.0,
Forest Preserves of Cook County,,"Chicago, IL",60601.0,
HOTWORX,,"Stafford, VA",22554.0,
Stewart's Shops Corp,,"Ballston Spa, NY",12020.0,
Action Cleaning Service,,"Savannah, GA",31401.0,
"Performance Metrics, LLC",,"Los Angeles, CA",90001.0,
"Hubler Financial Services, LLC",,"Indianapolis, IN",46201.0,
Ragland & Associates LLC,,"Richmond, VA",23219.0,
Vibrant Humans HR Consulting,,"Renton, WA",98055.0,
Harrison Ford-Clear Lake,,"Clear Lake, IA",50428.0,
,,"Fowlerville, MI",48836.0,
Ford's Theatre Society,,Washington DC-Baltimore Area,,
Plaxonic,,"Fort Myers, FL",33900.0,
Asian Americans Advancing Justice | Chicago,,"Chicago, IL",60601.0,
Tastes on the Fly,,"Denver, CO",80202.0,
MDI Imaging & Mail,,"Cascades, VA",24069.0,
Cyberwoven,,"Columbia, South Carolina Metropolitan Area",,
Health Care Service Corporation,,"Abilene, TX",79601.0,
University of Maryland Baltimore County,,"Catonsville, MD",21228.0,
HKA Enterprises,,"DeFuniak Springs, FL",32433.0,
Symbolica AI,,San Francisco Bay Area,,
Medi-Weightloss®,,"Livingston, NJ",7039.0,
Radinnova,,"Irvine, CA",92602.0,
SilverSpace Technologies Inc,,"Lewiston, ID",83501.0,
Podiumwear Custom Sports Apparel,,"St Paul, MN",55071.0,
"PACIFIC ARCHITECTURAL WOOD PRODUCTS, LLC",,"Canby, OR",97013.0,
Aston Carter,,"Cary, NC",27511.0,
Crown Point Systems,,Washington DC-Baltimore Area,,
Yolo Transportation District,,"Woodland, CA",95695.0,
The Napoli Group,,"Clayton, MO",63837.0,
TechTonic Solutions Hawaii,,"Honolulu, HI",96813.0,
"Houston Homes, LLC",,"O'Fallon, MO",63366.0,
GRÄS Lawn ,,"Lakewood, NJ",8701.0,
Rapid Scan 3D,,"Lakewood, CA",90712.0,
Tallgrass Freight Company,,United States,,
"CrossCountry Mortgage, LLC",,"Ellicott City, MD",21042.0,
"Spruce InfoTech, Inc",,"West Berlin, NJ",8091.0,
"Miracle Software Systems, Inc",,"Novi, MI",48374.0,
,,"Boston, MA",2108.0,
NTCA–The Rural Broadband Association,,"Arlington, VA",22201.0,
LinkW Technology Logistics Inc,,"Fontana, CA",92335.0,
Unity Source Group,,"Miami, FL",33122.0,
VICTOR RANE,,"New York, NY",10001.0,
Bad Birdie,,"Scottsdale, AZ",85250.0,
Piedmont,,"Macon, GA",31201.0,
National Park Trust,,"Rockville, MD",20850.0,
"Binary Tech Consulting Corp.,",,"Naperville, IL",60540.0,
Ad,,"Dayton, OH",45400.0,
New Hope Treatment Centers Inc,,"Rock Hill, SC",29730.0,
ZCC USA INC,,"Cincinnati, OH",45202.0,
,,"Bremerton, WA",98310.0,
Be. Workplace Design,,"Concord, CA",94518.0,
Brazilian Lumber,,"Miami, FL",33122.0,
Experior Financial Group,,United States,,
9Yards Technology,,"San Francisco, CA",94101.0,
Carlisle Construction Materials,,"Carlisle, PA",17013.0,
truxio,,"Memphis, TN",38103.0,
NInfo Systems INC,,"Phoenix, AZ",85003.0,
SRS Consulting Inc,,"Waukegan, IL",60085.0,
University of Tehran,,"San Diego, CA",92101.0,
DECCA LLC,,United States,,
LionOrbit Tech Solutions LLC,,"Vienna, VA",22180.0,
Stealth,,"California, United States",,
REV77,,"Tempe, AZ",85281.0,
TriTech Software & Services,,"Allen, TX",75002.0,
Peak Interactive Wellness,,"Colorado, United States",,
Netzel Grigsby Associates,,Los Angeles Metropolitan Area,,
Aston Carter,,"Torrance, CA",90501.0,
,,"Highland Park, IL",60035.0,
